Weight, Height
70000.0,1.77
69854.4,1.80848
75000.0,1.84
84369.6,1.8542
72000.0,1.74
68947.2,1.8288
91627.2,1.94945
90720.0,1.9558
78019.2,1.8796
95000.0,1.86
111132.0,2.1336
70000.0,1.88
96000.0,2.04
94000.0,1.96
107000.0,2.1
103000.0,2.03
97524.0,2.0701
96000.0,1.91
110000.0,1.95
115000.0,2.04
106596.0,2.1082
89000.0,1.79
96000.0,1.81
69854.4,1.6256
141523.2,1.9304
116575.2,1.8288
99792.0,1.8288
104000.0,1.8
77565.6,1.8288
65772.0,1.778
98884.8,1.8034
99792.0,2.0574
125000.0,1.93
84369.6,1.8034
102967.2,2.0827999999999998
79380.0,1.778
79380.0,1.905
86184.0,1.9304
82101.6,1.8034
81648.0,1.8542
113400.0,2.1336
110224.8,1.8796
83916.0,1.8034
88452.0,1.8796
80000.0,1.91
96163.2,1.905
83916.0,1.8542
74844.0,1.8796
82000.0,1.83
83916.0,2.0066
86184.0,1.7526
62000.0,1.73
90000.0,1.97
78000.0,1.81
79000.0,1.83
68000.0,1.75
83008.8,1.905
83916.0,1.8542
90000.0,2.02
88000.0,1.82
95000.0,1.98
78000.0,1.83
108864.0,2.0574
103000.0,1.82
92988.0,1.8288
83916.0,1.8542
77112.0,1.8034
73000.0,1.88
98794.08,2.032
62000.0,1.76
85000.0,1.82
70000.0,1.87
85000.0,1.84
67000.0,1.7
118000.0,2.1
83916.0,1.7272
72576.0,1.7272
66000.0,1.81
73000.0,1.73
92000.0,1.81
97524.0,1.8796
70000.0,1.8
73000.0,1.7
79000.0,2.05
77000.0,1.8
65772.0,1.8288
61000.0,1.524
55000.0,1.65
70000.0,1.77
63000.0,1.72
77112.0,1.778
70000.0,1.67
47174.4,1.524
58000.0,1.64
61000.0,1.74
70761.6,1.8034
57000.0,1.72
65000.0,1.7
39000.0,1.46
73936.8,1.8288
57153.6,1.524
63000.0,1.73
52617.6,1.524
62000.0,1.72
76000.0,1.75
64000.0,1.8
75000.0,1.73
69000.0,1.75
