Weight, Height, Type of Sportsman
70.0,1.77, {'volleyball player'}
69.8544,1.80848, {'other'}
75.0,1.84, {'swimmer'}
84.3696,1.8542, {'basketball player'}
72.0,1.74, {'martial artist'}
68.9472,1.8288, {'basketball player'}
91.6272,1.94945, {'basketball player'}
90.72,1.9558, {'basketball player'}
78.0192,1.8796, {'basketball player'}
95.0,1.86, {'rower'}
111.132,2.1336, {'basketball player'}
70.0,1.88, {'basketball player'}
96.0,2.04, {'basketball player'}
94.0,1.96, {'volleyball player'}
107.0,2.1, {'basketball player'}
103.0,2.03, {'handball player'}
97.524,2.0701, {'basketball player'}
96.0,1.91, {'handball player'}
110.0,1.95, {'handball player'}
115.0,2.04, {'basketball player'}
106.596,2.1082, {'basketball player'}
89.0,1.79, {'other'}
96.0,1.81, {'rower'}
69.8544,1.6256, {'basketball player'}
141.5232,1.9304, {'other'}
116.5752,1.8288, {'wrestler'}
99.792,1.8288, {'wrestler'}
104.0,1.8, {'wrestler'}
77.5656,1.8288, {'martial artist'}
65.772,1.778, {'martial artist'}
98.8848,1.8034, {'wrestler'}
99.792,2.0574, {'basketball player'}
125.0,1.93, {'other'}
84.3696,1.8034, {'basketball player'}
102.96719999999999,2.0827999999999998, {'basketball player'}
79.38,1.778, {'basketball player'}
79.38,1.905, {'basketball player'}
86.184,1.9304, {'basketball player'}
82.1016,1.8034, {'hockey player'}
81.648,1.8542, {'basketball player'}
113.4,2.1336, {'basketball player'}
110.2248,1.8796, {'other'}
83.916,1.8034, {'basketball player'}
88.452,1.8796, {'basketball player'}
80.0,1.91, {'basketball player'}
96.1632,1.905, {'hockey player'}
83.916,1.8542, {'basketball player'}
74.844,1.8796, {'basketball player'}
82.0,1.83, {'rugby player'}
83.916,2.0066, {'basketball player'}
86.184,1.7526, {'wrestler'}
62.0,1.73, {'volleyball player'}
90.0,1.97, {'handball player'}
78.0,1.81, {'volleyball player'}
79.0,1.83, {'swimmer'}
68.0,1.75, {'handball player'}
83.00880000000001,1.905, {'basketball player'}
83.916,1.8542, {'basketball player'}
90.0,2.02, {'volleyball player'}
88.0,1.82, {'tennis player'}
95.0,1.98, {'volleyball player'}
78.0,1.83, {'volleyball player'}
108.864,2.0574, {'basketball player'}
103.0,1.82, {'martial artist'}
92.988,1.8288, {'other'}
83.916,1.8542, {'martial artist'}
77.112,1.8034, {'martial artist'}
73.0,1.88, {'basketball player'}
98.79408000000001,2.032, {'basketball player'}
62.0,1.76, {'cyclist'}
85.0,1.82, {'martial artist'}
70.0,1.87, {'volleyball player'}
85.0,1.84, {'swimmer'}
67.0,1.7, {'swimmer'}
118.0,2.1, {'basketball player'}
83.916,1.7272, {'other'}
72.576,1.7272, {'other'}
66.0,1.81, {'other'}
73.0,1.73, {'tennis player'}
92.0,1.81, {'rugby player'}
97.524,1.8796, {'other'}
70.0,1.8, {'volleyball player'}
73.0,1.7, {'other'}
79.0,2.05, {'other'}
77.0,1.8, {'other'}
65.772,1.8288, {'other'}
61.0,1.524, {'volleyball player'}
55.0,1.65, {'other'}
70.0,1.77, {'other'}
63.0,1.72, {'cyclist'}
77.112,1.778, {'rugby player'}
70.0,1.67, {'rugby player'}
47.1744,1.524, {'other'}
58.0,1.64, {'cyclist'}
61.0,1.74, {'cyclist'}
70.7616,1.8034, {'basketball player'}
57.0,1.72, {'other'}
65.0,1.7, {'other'}
39.0,1.46, {'other'}
73.9368,1.8288, {'swimmer'}
57.1536,1.524, {'swimmer'}
63.0,1.73, {'other'}
52.617599999999996,1.524, {'other'}
62.0,1.72, {'handball player'}
76.0,1.75, {'rugby player'}
64.0,1.8, {'pentathlete'}
75.0,1.73, {'handball player'}
69.0,1.75, {'tennis player'}
98.0,1.72, {'other'}
89.0,1.7, {'wrestler'}
95.0,1.86, {'golf player'}
65.0,1.83, {'handball player'}
72.0,1.85, {'volleyball player'}
75.0,1.73, {'handball player'}
70.0,1.87, {'volleyball player'}
62.0,1.79, {'volleyball player'}
74.0,1.87, {'volleyball player'}
62.0,1.74, {'volleyball player'}
53.0,1.61, {'swimmer'}
52.0,1.58, {'other'}
69.0,1.83, {'volleyball player'}
72.0,1.85, {'volleyball player'}
59.0,1.66, {'swimmer'}
